연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
NA,NA,NA,3426,불륜 보육 교사: 애가 깨요 선생님,6000,0,1,1,1,일본,일본,NA,NA
2020,8,17,3426,햄릿: 죽느냐 사느냐,1000,0,1,1,1,미국,미국,(주)영화사 안다미로,2020-08-17T00:00:00Z
2020,7,31,3426,발정난 며느리:너무 거대해,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-31T00:00:00Z
2020,9,7,3426,올드 가드 인 런던,1000,0,1,1,1,영국,영국,(주)영화사 안다미로,2020-09-07T00:00:00Z
2020,12,2,3426,마누라 공유하기 - 무삭제판,1000,0,1,1,1,한국,한국,(주)컨텐츠 빌리지,2020-12-02T00:00:00Z
2020,7,31,3426,새엄마:뜨거운 첫경험,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-31T00:00:00Z
NA,NA,NA,3426,나의 며느리,6000,0,1,1,1,일본,일본,NA,NA
NA,NA,NA,3426,사모님 길들이기,6000,0,1,1,1,일본,일본,NA,NA
2020,8,14,3426,숫처녀길들이기,5000,0,1,1,1,한국,한국,스마일컨텐츠,2020-08-14T00:00:00Z
2020,12,15,3426,내 아내의 섹파 무삭제판,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-15T00:00:00Z
2020,12,15,3426,양아버지의 뜨거운 맛,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-15T00:00:00Z
2020,12,16,3426,대물의 유혹:많이 쌓였죠?,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-16T00:00:00Z
2020,12,15,3426,섹스에 환장한 아줌마들 무삭제판,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-15T00:00:00Z
2020,12,15,3426,누드모델이 된 아내,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-15T00:00:00Z
2020,12,16,3426,예비신부의 첫날밤,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-16T00:00:00Z
